,serie,martinez,lacalle,total_19_bal,fa_19,multi_19,fa,core,orsi,delgado
165,DAI,44.96124031007752,55.03875968992248,387.0,35.65891472868217,58.656330749354005,38.18181818181819,58.0,39.18181818181819,60.81818181818181
166,DAJ,36.07520564042303,63.924794359576964,851.0,24.825174825174827,67.13286713286713,28.642857142857142,66.0,29.642857142857142,70.35714285714286
167,DAK,36.78877630553391,63.21122369446609,1283.0,25.423728813559322,68.79815100154083,25.513513513513512,69.29729729729729,26.513513513513512,73.48648648648648
168,DBA,43.29576606762108,56.70423393237892,16415.0,34.649767327945135,61.40093068821945,39.038151531434714,56.46829661472327,40.038151531434714,59.961848468565286
169,DBB,25.31645569620253,74.68354430379746,79.0,17.28395061728395,76.54320987654322,18.29268292682927,75.60975609756098,19.29268292682927,80.70731707317073
170,DBC,3.9215686274509802,96.07843137254902,51.0,1.9230769230769231,98.07692307692308,3.9215686274509802,94.11764705882354,4.921568627450981,95.07843137254902
171,DBD,49.29453262786596,50.70546737213404,1134.0,38.035714285714285,57.589285714285715,44.95677233429395,50.57636887608069,45.95677233429395,54.04322766570605
172,DBE,49.157303370786515,50.84269662921348,1068.0,36.29489603024575,58.412098298676746,41.111981205951444,53.328112764291305,42.111981205951444,57.888018794048556
173,DBF,55.13274336283186,44.86725663716814,1130.0,45.33333333333333,51.46666666666667,49.56772334293948,46.10951008645533,50.56772334293948,49.43227665706052
174,DBG,45.98540145985402,54.01459854014598,1233.0,34.5679012345679,63.1275720164609,41.61696487740225,55.069582504970185,42.61696487740225,57.38303512259775
175,DCA,42.93470064846931,57.06529935153068,6631.0,34.12264723740134,63.479052823315115,40.91543832428239,55.95034910783553,41.91543832428239,58.08456167571761
176,DCB,47.21466706960814,52.78533293039186,9927.0,38.19069909433194,56.47705301719751,44.69710751318901,49.66345279243224,45.69710751318901,54.30289248681099
177,DCC,1.9607843137254901,98.0392156862745,51.0,1.9230769230769231,98.07692307692308,8.88888888888889,86.66666666666667,9.88888888888889,90.11111111111111
178,DCD,29.03225806451613,70.96774193548387,1488.0,21.86648501362398,76.8392370572207,27.695287282117498,69.20593931568754,28.695287282117498,71.3047127178825
179,DCE,19.672131147540984,80.32786885245902,61.0,10.0,86.66666666666666,19.565217391304348,80.43478260869566,20.565217391304348,79.43478260869566
180,DCF,42.576687116564415,57.423312883435585,815.0,34.914841849148424,60.70559610705597,44.00396432111001,50.049554013875124,45.00396432111001,54.99603567888999
181,DDA,17.010309278350515,82.9896907216495,194.0,11.794871794871794,87.17948717948718,16.666666666666664,79.90196078431373,17.666666666666664,82.33333333333334
182,DDB,11.363636363636363,88.63636363636364,44.0,6.976744186046512,93.02325581395348,20.833333333333336,72.91666666666667,21.833333333333336,78.16666666666666
183,DDD,11.11111111111111,88.88888888888889,45.0,15.217391304347828,80.43478260869566,19.148936170212767,72.34042553191489,20.148936170212767,79.85106382978724
184,DEA,14.97005988023952,85.02994011976048,334.0,11.504424778761061,87.61061946902655,8.899297423887589,88.75878220140515,9.899297423887589,90.10070257611241
185,DEC,9.278350515463918,90.72164948453609,97.0,8.16326530612245,90.81632653061223,12.087912087912088,87.91208791208791,13.087912087912088,86.91208791208791
186,DED,38.629592850049654,61.370407149950346,2014.0,29.12383749388155,63.534018600097895,31.65278386672512,62.1657167908812,32.652783866725116,67.34721613327488
187,DEE,11.76470588235294,88.23529411764706,102.0,14.563106796116504,85.4368932038835,12.62135922330097,85.4368932038835,13.62135922330097,86.37864077669903
